ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,rp
-37,-46,-49,-57,-30,-43,-50,-59,1
-37,-43,-49,-56,-29,-44,-49,-59,1
-34,-47,-49,-57,-30,-43,-48,-59,1
-37,-46,-48,-58,-30,-44,-50,-58,1
-37,-46,-49,-57,-30,-43,-49,-58,1
-37,-43,-49,-57,-30,-44,-49,-60,1
-37,-44,-49,-58,-30,-43,-50,-58,1
-37,-44,-50,-58,-30,-44,-50,-60,1
-38,-42,-49,-55,-29,-43,-49,-59,1
-38,-47,-48,-58,-29,-44,-49,-58,1
-38,-43,-49,-55,-30,-43,-50,-58,1
-37,-43,-48,-53,-30,-43,-50,-59,1
-39,-46,-49,-57,-29,-43,-49,-58,1
-38,-44,-49,-58,-30,-44,-49,-59,1
-38,-45,-48,-58,-31,-44,-50,-59,1
-38,-47,-49,-58,-31,-44,-50,-59,1
-38,-44,-50,-57,-31,-44,-50,-59,1
-37,-44,-48,-58,-30,-44,-49,-58,1
-76,-48,-48,-57,-30,-44,-51,-58,1
-39,-48,-49,-58,-30,-43,-49,-59,1
-37,-45,-50,-58,-31,-43,-49,-58,1
-39,-44,-48,-58,-31,-43,-48,-59,1
-39,-44,-49,-58,-31,-44,-50,-59,1
-37,-43,-50,-58,-30,-43,-49,-58,1
-37,-45,-49,-56,-29,-43,-49,-59,1
-38,-45,-49,-57,-31,-44,-50,-58,1
-38,-45,-50,-56,-30,-44,-49,-59,1
-38,-44,-50,-57,-29,-44,-50,-59,1
-37,-47,-50,-56,-30,-44,-50,-59,1
-42,-44,-51,-54,-44,-37,-56,-50,2
-42,-45,-51,-53,-44,-37,-56,-50,2
-42,-45,-53,-54,-44,-37,-56,-51,2
-43,-44,-50,-55,-43,-39,-55,-49,2
-42,-45,-51,-55,-44,-38,-55,-50,2
-43,-46,-52,-55,-43,-37,-56,-49,2
-44,-44,-52,-55,-43,-38,-56,-51,2
-43,-45,-52,-55,-43,-37,-57,-51,2
-43,-45,-51,-52,-43,-37,-56,-49,2
-43,-45,-51,-54,-44,-37,-56,-50,2
-42,-44,-51,-51,-43,-38,-55,-50,2
-43,-45,-50,-53,-43,-38,-56,-50,2
-43,-46,-51,-54,-42,-37,-55,-50,2
-43,-46,-51,-51,-43,-38,-57,-49,2
-43,-45,-51,-54,-43,-37,-56,-48,2
-43,-44,-49,-53,-44,-37,-57,-49,2
-43,-45,-49,-52,-41,-38,-57,-49,2
-42,-45,-51,-53,-42,-37,-56,-50,2
-43,-45,-50,-53,-42,-38,-56,-50,2
-42,-43,-51,-52,-42,-35,-56,-50,2
-42,-45,-50,-53,-42,-37,-56,-50,2
-43,-43,-50,-53,-44,-38,-57,-49,2
-41,-44,-49,-53,-42,-36,-58,-50,2
-43,-44,-51,-51,-43,-37,-55,-50,2
-43,-44,-49,-53,-44,-37,-55,-49,2
-41,-45,-50,-54,-43,-38,-55,-49,2
-43,-45,-50,-53,-42,-37,-56,-49,2
-43,-44,-50,-53,-43,-37,-55,-51,2
-43,-45,-51,-53,-42,-38,-56,-49,2
-43,-44,-50,-52,-42,-37,-57,-49,2
-43,-45,-49,-53,-44,-37,-56,-49,2
-43,-44,-50,-54,-43,-38,-57,-49,2
-42,-45,-50,-53,-43,-37,-56,-50,2
-43,-44,-51,-55,-43,-37,-56,-51,2
